id,attri1id,brand,of8,dept,depttree,inventorytype,largepicture,listprice,name,overallqoh,pictureID,pricerange,prodreviewsaverage,sale,salepricerangebottom,sizelist,smallpicture,style,url,googleproducttaxonomy,shippingsurcharge,topseller,hexlist,tinypicture,justin,meganpick,finds,shoecharge,exclusive
15190,13383,FREE PEOPLE,NULL,TOPS,TOPS &gt Pullovers,BOHO CHIC,23157-DEFAULT-l.jpg,68,Lover Rib Thermal,71,23157,50-to-100,0,N,68,"XS,S,M,L",23157-DEFAULT-s.jpg,OB519393,p/lover-rib-thermal-34584,Apparel & Accessories > Clothing > Shirts & Tops > Sweatshirts,0,Y,"32129|Grey|6a6a6a,32130|Red|bc1645,32131|Pink|eca9cb,32132|Taupe|d2c4ab,32133|Blue|38497f",23157-DEFAULT-xs.jpg,NULL,Y,N,NULL,N
15186,13383,FREE PEOPLE,NULL,TOPS,TOPS,BOHO CHIC,23157-DEFAULT-l.jpg,68,Lover Rib Thermal,71,23157,50-to-100,0,N,68,"XS,S,M,L",23157-DEFAULT-s.jpg,OB519393,p/lover-rib-thermal-34584,Apparel & Accessories > Clothing > Shirts & Tops,0,Y,"32129|Grey|6a6a6a,32130|Red|bc1645,32131|Pink|eca9cb,32132|Taupe|d2c4ab,32133|Blue|38497f",23157-DEFAULT-xs.jpg,NULL,Y,N,NULL,N
15166,13361,LOVESTITCH,NULL,TOPS,TOPS &gt Sweaters,BOHO CHIC,23270-DEFAULT-l.jpg,88,Fringe Drape Cardy,48,23270,50-to-100,0,N,88,"S,M,L",23270-DEFAULT-s.jpg,IMP-5797-EE,p/fringe-drape-cardy-34788,Apparel & Accessories > Clothing > Shirts & Tops > Sweaters & Cardigans,0,Y,"32083|Black|000000,32084|Taupe|d2c4ab,32085|Grey|6a6a6a,32086|Red|bc1645,32087|Green|62806d,32088|Ivory|f3eee4,32089|Blue|38497f",23270-DEFAULT-xs.jpg,Y,N,N,NULL,N
15165,13361,LOVESTITCH,NULL,TOPS,TOPS,BOHO CHIC,23270-DEFAULT-l.jpg,88,Fringe Drape Cardy,48,23270,50-to-100,0,N,88,"S,M,L",23270-DEFAULT-s.jpg,IMP-5797-EE,p/fringe-drape-cardy-34788,Apparel & Accessories > Clothing > Shirts & Tops,0,Y,"32083|Black|000000,32084|Taupe|d2c4ab,32085|Grey|6a6a6a,32086|Red|bc1645,32087|Green|62806d,32088|Ivory|f3eee4,32089|Blue|38497f",23270-DEFAULT-xs.jpg,Y,N,N,NULL,N
15161,13361,LOVESTITCH,NULL,TOPS,TOPS &gt Sweaters,BOHO CHIC,23270-DEFAULT-l.jpg,88,Fringe Drape Cardy,486,23270,50-to-100,0,N,88,"S,M,L",23270-DEFAULT-s.jpg,IMP-5797-EE,p/fringe-drape-cardy-34788,Apparel & Accessories > Clothing > Shirts & Tops > Sweaters & Cardigans,0,Y,"32083|Black|000000,32084|Taupe|d2c4ab,32085|Grey|6a6a6a,32086|Red|bc1645,32087|Green|62806d,32088|Ivory|f3eee4,32089|Blue|38497f",23270-DEFAULT-xs.jpg,Y,N,N,NULL,N
15160,13361,LOVESTITCH,NULL,TOPS,TOPS,BOHO CHIC,23270-DEFAULT-l.jpg,88,Fringe Drape Cardy,486,23270,50-to-100,0,N,88,"S,M,L",23270-DEFAULT-s.jpg,IMP-5797-EE,p/fringe-drape-cardy-34788,Apparel & Accessories > Clothing > Shirts & Tops,0,Y,"32083|Black|000000,32084|Taupe|d2c4ab,32085|Grey|6a6a6a,32086|Red|bc1645,32087|Green|62806d,32088|Ivory|f3eee4,32089|Blue|38497f",23270-DEFAULT-xs.jpg,Y,N,N,NULL,N
15156,13361,LOVESTITCH,NULL,TOPS,TOPS &gt Sweaters,BOHO CHIC,23270-DEFAULT-l.jpg,88,Fringe Drape Cardy,18,23270,50-to-100,0,N,88,"S,M,L",23270-DEFAULT-s.jpg,IMP-5797-EE,p/fringe-drape-cardy-34788,Apparel & Accessories > Clothing > Shirts & Tops > Sweaters & Cardigans,0,Y,"32083|Black|000000,32084|Taupe|d2c4ab,32085|Grey|6a6a6a,32086|Red|bc1645,32087|Green|62806d,32088|Ivory|f3eee4,32089|Blue|38497f",23270-DEFAULT-xs.jpg,Y,N,N,NULL,N
15155,13361,LOVESTITCH,NULL,TOPS,TOPS,BOHO CHIC,23270-DEFAULT-l.jpg,88,Fringe Drape Cardy,18,23270,50-to-100,0,N,88,"S,M,L",23270-DEFAULT-s.jpg,IMP-5797-EE,p/fringe-drape-cardy-34788,Apparel & Accessories > Clothing > Shirts & Tops,0,Y,"32083|Black|000000,32084|Taupe|d2c4ab,32085|Grey|6a6a6a,32086|Red|bc1645,32087|Green|62806d,32088|Ivory|f3eee4,32089|Blue|38497f",23270-DEFAULT-xs.jpg,Y,N,N,NULL,N
15152,13357,FREE PEOPLE,NULL,TOPS,TOPS &gt Blouses & Shirting,ROCKER GLAM,23227-DEFAULT-l.jpg,108,Easy Street Plaid,30,23227,100-to-200,0,N,108,"XS,S,M,L",23227-DEFAULT-s.jpg,OB514817,p/easy-street-plaid-34783,Apparel & Accessories > Clothing > Shirts & Tops > Shirts & Blouses,0,Y,"32076|Blue|38497f,32077|Green|62806d",23227-DEFAULT-xs.jpg,Y,Y,N,NULL,N
15151,13357,FREE PEOPLE,NULL,TOPS,TOPS,ROCKER GLAM,23227-DEFAULT-l.jpg,108,Easy Street Plaid,30,23227,100-to-200,0,N,108,"XS,S,M,L",23227-DEFAULT-s.jpg,OB514817,p/easy-street-plaid-34783,Apparel & Accessories > Clothing > Shirts & Tops,0,Y,"32076|Blue|38497f,32077|Green|62806d",23227-DEFAULT-xs.jpg,Y,Y,N,NULL,N
