_id|attr1id|attr1list|attr2id|vendor|of8|color|dept|description|largepicture|price|title|overallqoh|quantityonhandsum|sale|sizelist|style|SHIPPINGSURCHARGE|TOPSELLER|JUSTIN|MEGANPICK|FINDS|SHOECHARGE|exclusive
2066|12830|Black,White,Grey,Pink,Blue,Pink|NULL|PEYTON JENSEN|REPLENISHABLE|NULL|TOPS|NULL|22264-DEFAULT-l.jpg|24|Ribbed Racerback Tank|14|NULL|Y|XS,S,M,L|15276-AB|0|Y|NULL|N|Y|NULL|N
2069|12830|Black,White,Grey,Pink,Blue,Pink|NULL|PEYTON JENSEN|REPLENISHABLE|NULL|TOPS|NULL|22264-DEFAULT-l.jpg|24|Ribbed Racerback Tank|41|NULL|Y|XS,S,M,L|15276-AB|0|Y|NULL|N|Y|NULL|N
2070|12830|Black,White,Grey,Pink,Blue,Pink|NULL|PEYTON JENSEN|REPLENISHABLE|NULL|TOPS|NULL|22264-DEFAULT-l.jpg|24|Ribbed Racerback Tank|41|NULL|Y|XS,S,M,L|15276-AB|0|Y|NULL|N|Y|NULL|N
2424|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|16|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
2428|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|23|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
2429|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|23|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
2433|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|7|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
2434|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|7|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
2438|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|36|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
2439|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|36|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
2443|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|44|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
2444|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|44|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
2448|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|28|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
2449|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|28|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
2895|10853|Green|NULL|SUNDRY|NULL|NULL|TOPS|NULL|22649-DEFAULT-l.jpg|58|Army of Lovers Tee|11|NULL|Y|0,1,2,3|75-420C22|0|NULL|NULL|N|Y|NULL|Y
2896|10853|Green|NULL|SUNDRY|NULL|NULL|TOPS|NULL|22649-DEFAULT-l.jpg|58|Army of Lovers Tee|11|NULL|Y|0,1,2,3|75-420C22|0|NULL|NULL|N|Y|NULL|Y
2897|10853|Green|NULL|SUNDRY|NULL|NULL|TOPS|NULL|22649-DEFAULT-l.jpg|58|Army of Lovers Tee|11|NULL|Y|0,1,2,3|75-420C22|0|NULL|NULL|N|Y|NULL|Y
2900|12721|Black,White,Red|NULL|THREE DOTS|NULL|NULL|TOPS|NULL|22802-DEFAULT-l.jpg|64|Favorite Tunic Tank|4|NULL|Y|XS,S,M,L|LD05018 S16|0|NULL|NULL|N|Y|NULL|N
2901|12721|Black,White,Red|NULL|THREE DOTS|NULL|NULL|TOPS|NULL|22802-DEFAULT-l.jpg|64|Favorite Tunic Tank|4|NULL|Y|XS,S,M,L|LD05018 S16|0|NULL|NULL|N|Y|NULL|N
2904|12721|Black,White,Red|NULL|THREE DOTS|NULL|NULL|TOPS|NULL|22802-DEFAULT-l.jpg|64|Favorite Tunic Tank|4|NULL|Y|XS,S,M,L|LD05018 S16|0|NULL|NULL|N|Y|NULL|N
2905|12721|Black,White,Red|NULL|THREE DOTS|NULL|NULL|TOPS|NULL|22802-DEFAULT-l.jpg|64|Favorite Tunic Tank|11|NULL|Y|XS,S,M,L|LD05018 S16|0|NULL|NULL|N|Y|NULL|N
2906|12721|Black,White,Red|NULL|THREE DOTS|NULL|NULL|TOPS|NULL|22802-DEFAULT-l.jpg|64|Favorite Tunic Tank|11|NULL|Y|XS,S,M,L|LD05018 S16|0|NULL|NULL|N|Y|NULL|N
2909|12721|Black,White,Red|NULL|THREE DOTS|NULL|NULL|TOPS|NULL|22802-DEFAULT-l.jpg|64|Favorite Tunic Tank|11|NULL|Y|XS,S,M,L|LD05018 S16|0|NULL|NULL|N|Y|NULL|N
2910|12721|Black,White,Red|NULL|THREE DOTS|NULL|NULL|TOPS|NULL|22802-DEFAULT-l.jpg|64|Favorite Tunic Tank|4|NULL|Y|XS,S,M,L|LD05018 S16|0|NULL|NULL|N|Y|NULL|N
