_id|attr1id|attr1list|attr2id|vendor|of8|color|dept|description|largepicture|price|title|overallqoh|quantityonhandsum|sale|sizelist|style|SHIPPINGSURCHARGE|TOPSELLER|JUSTIN|MEGANPICK|FINDS|SHOECHARGE|exclusive
2384|12658|Pink|NULL|SKIES ARE BLUE|NULL|NULL|TOPS|NULL|22691-DEFAULT-l.jpg|58|Bazaar Print Top|6|NULL|Y|XS,S,M|34891|0|NULL|NULL|N|Y|NULL|Y
2385|12658|Pink|NULL|SKIES ARE BLUE|NULL|NULL|TOPS|NULL|22691-DEFAULT-l.jpg|58|Bazaar Print Top|6|NULL|Y|XS,S,M|34891|0|NULL|NULL|N|Y|NULL|Y
2423|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|16|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
2866|12349|Grey|NULL|TOLANI|NULL|NULL|TOPS|NULL|22956-DEFAULT-l.jpg|68|Ariel Tank|14|NULL|Y|XS,S,M|16502-2|0|NULL|NULL|N|Y|NULL|Y
2867|12349|Grey|NULL|TOLANI|NULL|NULL|TOPS|NULL|22956-DEFAULT-l.jpg|68|Ariel Tank|14|NULL|Y|XS,S,M|16502-2|0|NULL|NULL|N|Y|NULL|Y
2868|12349|Grey|NULL|TOLANI|NULL|NULL|TOPS|NULL|22956-DEFAULT-l.jpg|68|Ariel Tank|14|NULL|Y|XS,S,M|16502-2|0|NULL|NULL|N|Y|NULL|Y
2871|12349|Grey|NULL|TOLANI|NULL|NULL|TOPS|NULL|22956-DEFAULT-l.jpg|68|Ariel Tank|25|NULL|Y|XS,S,M|16502-2|0|NULL|NULL|N|Y|NULL|Y
2872|12349|Grey|NULL|TOLANI|NULL|NULL|TOPS|NULL|22956-DEFAULT-l.jpg|68|Ariel Tank|25|NULL|Y|XS,S,M|16502-2|0|NULL|NULL|N|Y|NULL|Y
2873|12349|Grey|NULL|TOLANI|NULL|NULL|TOPS|NULL|22956-DEFAULT-l.jpg|68|Ariel Tank|25|NULL|Y|XS,S,M|16502-2|0|NULL|NULL|N|Y|NULL|Y
2876|12349|Grey|NULL|TOLANI|NULL|NULL|TOPS|NULL|22956-DEFAULT-l.jpg|68|Ariel Tank|9|NULL|Y|XS,S,M|16502-2|0|NULL|NULL|N|Y|NULL|Y
2877|12349|Grey|NULL|TOLANI|NULL|NULL|TOPS|NULL|22956-DEFAULT-l.jpg|68|Ariel Tank|9|NULL|Y|XS,S,M|16502-2|0|NULL|NULL|N|Y|NULL|Y
