"id","parent_id","position","name","permalink","taxonomy_id","lft","rgt","icon_file_name","icon_content_type","icon_file_size","icon_updated_at","description","created_at","updated_at","meta_title","meta_description","meta_keywords","depth"
52,42,0,"Shorts","categories/jeans/shorts",1,125,126,,,,,"","2016-10-06 20:14:59.921586","2016-10-06 20:45:42.489884","","","",2
53,42,0,"Skinny","categories/jeans/skinny",1,127,128,,,,,"","2016-10-06 20:15:17.986525","2016-10-06 20:45:42.489884","","","",2
54,42,0,"Straight Leg","categories/jeans/straight-leg",1,129,130,,,,,"","2016-10-06 20:15:37.143921","2016-10-06 20:45:42.489884","","","",2
55,42,0,"White","categories/jeans/white",1,131,132,,,,,"","2016-10-06 20:15:55.320774","2016-10-06 20:45:42.489884","","","",2
56,42,0,"Wide Leg & Flare","categories/jeans/wide-leg-and-flare",1,133,134,,,,,"","2016-10-06 20:16:10.747609","2016-10-06 20:45:42.489884","","","",2
57,48,0,"Jumpsuits & Rompers","categories/pants/jumpsuits-and-rompers",1,137,138,,,,,"","2016-10-06 20:16:52.834041","2016-10-06 20:45:42.489884","","","",2
58,48,0,"Leggings","categories/pants/leggings",1,139,140,,,,,"","2016-10-06 20:17:23.991831","2016-10-06 20:45:42.489884","","","",2
59,48,0,"Soft Pants","categories/pants/soft-pants",1,141,142,,,,,"","2016-10-06 20:18:28.786971","2016-10-06 20:45:42.489884","","","",2
60,48,0,"Joggers","categories/pants/joggers",1,143,144,,,,,"","2016-10-06 20:18:48.446503","2016-10-06 20:45:42.489884","","","",2
61,48,0,"Utility","categories/pants/utility",1,145,146,,,,,"","2016-10-06 20:21:27.591224","2016-10-06 20:45:42.489884","","","",2
62,1,0,"Tops","categories/tops",1,2,49,,,,,"","2016-10-06 20:22:36.029596","2016-10-07 16:34:15.351332","","","",1
63,62,0,"Blazers & Jackets","categories/tops/blazers-and-jackets",1,3,14,,,,,"","2016-10-06 20:23:35.752772","2016-10-06 20:27:55.833616","","","",2
64,63,0,"Denim Jackets","categories/tops/blazers-and-jackets/denim-jackets",1,4,5,,,,,"","2016-10-06 20:24:35.999412","2016-10-06 20:24:49.422988","","","",3
65,63,0,"Vegan Leather Jackets","categories/tops/blazers-and-jackets/vegan-leather-jackets",1,6,7,,,,,"","2016-10-06 20:26:52.140622","2016-10-06 20:27:07.171777","","","",3
66,63,0,"Vests","categories/tops/blazers-and-jackets/vests",1,8,9,,,,,"","2016-10-06 20:27:10.893349","2016-10-06 20:27:21.574126","","","",3
67,63,0,"Army Jackets","categories/tops/blazers-and-jackets/army-jackets",1,10,11,,,,,"","2016-10-06 20:27:25.660548","2016-10-06 20:27:39.041298","","","",3
68,63,0,"Moto Jackets","categories/tops/blazers-and-jackets/moto-jackets",1,12,13,,,,,"","2016-10-06 20:27:43.552927","2016-10-06 20:27:55.827162","","","",3
69,62,0,"Blouses & Shirting","categories/tops/blouses-and-shirting",1,15,26,,,,,"","2016-10-06 20:28:03.383509","2016-10-06 20:30:04.71262","","","",2
70,69,0,"Long Sleeve Shirts","categories/tops/blouses-and-shirting/long-sleeve-shirts",1,16,17,,,,,"","2016-10-06 20:28:25.833892","2016-10-06 20:28:45.603028","","","",3
71,69,0,"3/4 Length Shirts","categories/tops/blouses-and-shirting/three-quarter-length-shirts",1,18,19,,,,,"","2016-10-06 20:28:50.210215","2016-10-06 20:29:10.413459","","","",3
72,69,0,"Button Down Shirts","categories/tops/blouses-and-shirting/button-down-shirts",1,20,21,,,,,"","2016-10-06 20:29:15.092574","2016-10-06 20:29:28.063494","","","",3
73,69,0,"Sleeveless Blouses","categories/tops/blouses-and-shirting/sleeveless-blouses",1,22,23,,,,,"","2016-10-06 20:29:32.978146","2016-10-06 20:29:48.124813","","","",3
